"date"	"Qmm"	"P"	"T"	"E"
1990-07-03	0.708	0	5.81365532	1.12
1990-07-04	0.72	0	6.8247119	1.12
1990-07-05	0.714	0	5.82433965	1.05
1990-07-06	0.726	15.31	2.47299529	0.81
1990-07-07	1.297	31.57	-0.831669	0.51
1990-07-08	1.129	0.73	-2.90839318	0.52
1990-07-09	0.943	0	-1.95681615	0.73
1990-07-10	0.895	0	1.41013065	0.89
1990-07-11	0.961	0	3.95034625	1.08
1990-07-12	0.949	0	3.365615165	0.92
1990-07-13	0.901	4.43	1.126613	0.72
1990-07-14	0.859	9.43	-2.209996685	0.59
1990-07-15	0.822	7.07	-4.16997665	0.49
1990-07-16	0.81	49.49	-4.52593385	0.42
1990-07-17	0.798	6.34	-7.0243136	0.4
1990-07-18	0.841	0	-7.510531	0.56
1990-07-19	0.822	0	-5.11449995	0.58
1990-07-20	0.816	0.01	-8.93415435	0.47
1990-07-21	0.81	0	-6.08517938	0.69
1990-07-22	0.822	0	-2.986497775	0.67
1990-07-23	0.81	9.09	-3.78006309	0.7
1990-07-24	0.847	8.36	-0.83890675	0.66
1990-07-25	0.895	8.2	-1.63463987	0.62
1990-07-26	0.859	0.23	-5.047787602	0.71
1990-07-27	0.853	0	-1.4194437	0.95
1990-07-28	0.871	0	3.26167875	1.15
1990-07-29	0.913	0	2.15711255	1.11
1990-07-30	0.943	0	4.654963599	1.22
1990-07-31	0.931	0	2.37941305	1.22
1990-08-01	0.925	0	3.513008925	1.1
1990-08-02	0.925	0.01	3.257795165	1.02
1990-08-03	0.973	0	3.77838575	1.33
1990-08-04	0.961	0	4.942716225	1.29
1990-08-05	0.937	0	4.9492637	1.14
1990-08-06	0.931	27.62	1.41408075	0.98
1990-08-07	1.165	0.13	-0.61341535	0.82
1990-08-08	1.033	0	6.7068393	1.51
1990-08-09	1.039	0	7.4075571	1.53
1990-08-10	1.063	0	6.461723135	1.58
1990-08-11	1.045	0	6.41629595	1.56
1990-08-12	1.051	7.48	4.887684885	1.37
1990-08-13	1.123	20.17	0.85929755	0.92
1990-08-14	1.099	0.08	-1.77277695	0.96
1990-08-15	1.027	0	0.17960305	1.13
1990-08-16	0.991	0	2.7424924	1.38
1990-08-17	1.009	0	2.6520474	1.3
1990-08-18	1.003	0	-0.37089305	1.06
1990-08-19	0.985	0	0.6499399	1.25
1990-08-20	0.967	0	3.4886719	1.52
1990-08-21	0.973	0	4.5396173	1.65
1990-08-22	0.997	0	3.0605583	1.55
1990-08-23	1.009	0	3.990945	1.62
1990-08-24	1.009	0	3.59201135	1.5
1990-08-25	0.991	0	4.150638935	1.54
1990-08-26	1.021	15.1	0.50825295	0.81
1990-08-27	1.003	0	-0.4053542	1.27
1990-08-28	0.973	0	4.90653025	1.86
1990-08-29	0.961	21.59	4.21621	1.26
1990-08-30	1.832	70.06	1.769547598	0.82
1990-08-31	2.282	8.62	0.150348	0.8
1990-09-01	1.742	4.97	1.7583171	1.31
1990-09-02	1.748	40.59	1.266718565	0.94
1990-09-03	2.45	3.11	1.85875875	1.24
1990-09-04	2.024	21.52	4.97842177	1.84
1990-09-05	2.414	18.74	1.706404745	0.96
1990-09-06	2.102	0	0.6134488	1.34
1990-09-07	1.784	0	1.5542218	1.47
1990-09-08	1.603	0	4.3984719	1.46
1990-09-09	1.615	0	5.9723147	1.72
1990-09-10	2.571	31.65	2.31604108	1.04
1990-09-11	2.535	6.78	-2.847661185	0.94
1990-09-12	2.048	0	-1.96898905	1.41
1990-09-13	1.916	0	4.0441871	2.23
1990-09-14	1.898	0	7.95159735	2.36
1990-09-15	1.88	0	5.4367552	1.81
1990-09-16	1.784	0	3.25091565	1.79
1990-09-17	1.609	0	0.55012815	1.42
1990-09-18	1.537	31.26	0.23918985	1.5
1990-09-19	2.42	29.68	-0.69635905	0.88
1990-09-20	2.102	14.24	-2.00713173	1.1
1990-09-21	2.06	0.52	-3.08282535	0.89
1990-09-22	1.838	0	-3.05921795	1.43
1990-09-23	1.784	0	2.22078905	2.19
1990-09-24	1.856	0	6.5061046	2.46
1990-09-25	2.042	0	6.37964717	2.46
1990-09-26	2.06	0	2.645838995	1.47
1990-09-27	1.808	0	1.93781535	1.92
1990-09-28	1.826	0	3.9666167	2.51
1990-09-29	1.928	0	10.27600435	3.05
1990-09-30	2.174	0.11	8.74528855	2.7
1990-10-01	2.324	0	5.3922157	1.94
1990-10-02	2.114	0	5.383469855	2.24
1990-10-03	1.844	0	5.0663082	1.84
1990-10-04	1.694	4.53	3.13081525	1.28
1990-10-05	1.591	0	2.613939985	1.61
1990-10-06	1.549	0	2.8523549	1.85
1990-10-07	1.736	0	2.03275235	1.63
1990-10-08	1.543	0	5.267332805	2.43
1990-10-09	1.724	1.31	7.4944661	2.56
1990-10-10	1.82	30.03	2.849843395	1.39
1990-10-11	1.754	0.12	-1.98235699	1.31
1990-10-12	1.694	0	2.92287625	2.37
1990-10-13	1.651	0	2.87507065	2.07
1990-10-14	1.555	0	3.310785235	2.13
1990-10-15	1.561	0	4.597774405	2.45
1990-10-16	1.766	0	4.621176555	2.25
1990-10-17	1.91	0	5.385977515	2.62
1990-10-18	2.186	0	6.656862	2.79
1990-10-19	2.378	0	8.9006673	3.12
1990-10-20	2.468	0	10.0141201	3.36
1990-10-21	2.997	0	9.2617695	3.02
1990-10-22	3.225	0	7.5119833	2.58
1990-10-23	3.406	0	8.36838265	2.72
1990-10-24	3.7	0	8.541236	2.66
1990-10-25	3.58	0	7.7624662	2.79
1990-10-26	3.243	0	7.65575965	2.57
1990-10-27	2.739	0	7.0210997	3
1990-10-28	2.937	0	8.3202937	3.08
1990-10-29	3.033	0	7.1928177	2.75
1990-10-30	2.679	0.39	5.2552091	1.97
1990-10-31	2.384	0	5.37473197	2.91
1990-11-01	2.39	0	6.4769599	2.94
1990-11-02	2.222	1	5.93787405	1.35
1990-11-03	2.03	28.72	2.170610835	1.41
1990-11-04	2.33	0.03	3.0159102	2.3
1990-11-05	2.156	0	5.233838385	2.69
1990-11-06	2.132	0	5.21705011	2.78
1990-11-07	2.156	0	6.90717425	3.05
1990-11-08	2.216	0	8.58094095	3.4
1990-11-09	2.673	0	9.7033887	3.46
1990-11-10	2.985	0	7.615228	2.7
1990-11-11	2.841	0	7.1326031	3.1
1990-11-12	2.294	8.86	5.0528457	1.77
1990-11-13	2.066	2.4	2.210357115	1.51
